Nombre,Juego,Entrega,Desde,Hasta,Dist. Estimada,Dist. Aceptada,Vel. Máx,Modalidad,Beneficio,Multas,Daños,Tiempo Real,Fecha,Distancia_Num
MALA INFLUENCIA,ATS,Estándar,Taylor Construction Group,Avalanche Steel,4 000 km,5 000 km,129 km/h,Real,52 495 $,0 $,1,8236,2026-08-01,5000
MALA INFLUENCIA,ATS,Estándar,Syntetico,Coastline Mining,4 000 km,5 000 km,129 km/h,Real,50 742 $,0 $,4,8825,2026-08-01,5000
El puma (CT),ATS,Estándar,Rock Port,Port of Tacoma,4 000 km,5 000 km,129 km/h,Real,71 767 $,0 $,1,7816,2026-08-01,5000
El puma (CT),ATS,Estándar,Rock Port,Deepgrove,4 000 km,5 000 km,129 km/h,Real,133 664 $,0 $,0,8188,2026-08-01,5000
Mr_Gerzon,ATS,Estándar,Wallbert,Deepgrove,4 000 km,5 000 km,129 km/h,Real,246 414 $,0 $,2,10964,2026-08-01,5000
Mr_Gerzon,ATS,Estándar,Deepgrove,Syntetico,4 000 km,5 000 km,129 km/h,Real,256 342 $,0 $,1,9738,2026-08-01,5000
Camilo Gang,ATS,Estándar,Kenworth,Apade,3 276 km,3 239 km,130 km/h,Real,10 708 $,0 $,20,5909,2026-08-01,3239
MrSebas,ETS2,Estándar,LkwLog GmbH,RT Log,877 km,879 km,102 km/h,Carrera,52 453 €,0 €,0,2147,2026-08-01,879
Trucker_JJ,ATS,Estándar,Taylor Construction Group,Coastline Mining,4 000 km,5 000 km,127 km/h,Real,251 862 $,0 $,4,8833,2026-08-01,5000
Trucker_JJ,ATS,Estándar,Taylor Construction Group,Coastline Mining,4 000 km,5 000 km,130 km/h,Real,0 $,0 $,100,9858,2026-08-01,5000
Ing.Juancho,ETS2,Estándar,Marina,AI Automotive,2 507 km,2 506 km,99 km/h,Real,163 676 €,0 €,2,6589,2026-08-01,2506
Trucker_JJ,ATS,Estándar,sea_eve1,sea_eve1,79 km,79 km,74 km/h,Real,5 037 $,0 $,0,655,2026-08-01,79
ReyMisterio,ATS,Estándar,GARC,Avalanche Steel,4 000 km,5 000 km,129 km/h,Real,3 564 $,0 $,23,8603,2026-08-01,5000
Undertaker03,ATS,Estándar,GARC,Avalanche Steel,4 000 km,5 000 km,130 km/h,Real,890 $,0 $,24,8833,2026-08-01,5000
Ayala.jav,ATS,Estándar,Starbridge,Creole Bay Port,4 000 km,5 000 km,129 km/h,Real,55 631 $,0 $,6,9450,2026-08-01,5000
Trucker_JJ,ATS,Estándar,Tidbit,SellGoods,308 km,308 km,128 km/h,Real,5 936 $,0 $,0,792,2026-08-01,308
Ayala.jav,ATS,Estándar,Starbridge,Creole Bay Port,4 000 km,5 000 km,130 km/h,Real,0 $,0 $,40,9999,2026-08-01,5000
Jose Naukin,ATS,Estándar,gnv,bodegon,370 km,332 km,123 km/h,Real,0 $,1 600 $,27,3114,2026-08-01,332
DON ISMA,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 319 km,99 km/h,Real,76 299 €,0 €,0,2839,2026-08-01,1319
MALA INFLUENCIA,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 271 km,100 km/h,Real,76 017 €,0 €,0,2910,2026-08-01,1271
ReyMisterio,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 270 km,99 km/h,Real,63 212 €,0 €,0,3015,2026-08-01,1270
DON ISMA,ATS,Estándar,Golden Meadows,Bushnell Farms,4 000 km,5 000 km,130 km/h,Real,149 853 $,0 $,0,8247,2026-08-01,5000
Undertaker03,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 276 km,100 km/h,Real,70 438 €,0 €,1,3064,2026-08-01,1276
Mr_Gerzon,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 271 km,100 km/h,Real,51 184 €,0 €,0,2921,2026-08-01,1271
Brayan Gamer,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 328 km,98 km/h,Real,76 299 €,0 €,0,3086,2026-08-01,1328
kingdilli,ETS2,Estándar,NS Oil,EuroGoodies,1 219 km,1 411 km,107 km/h,Carrera,44 523 €,0 €,4,3662,2026-08-01,1411
Jose Naukin,ATS,Estándar,Golden Meadows,Flavorfair,963 km,999 km,129 km/h,Real,27 996 $,3 600 $,0,2104,2026-08-01,999
MrSebas,ETS2,Estándar,Tradeaux,RT Log,857 km,856 km,100 km/h,Real,69 662 €,0 €,0,2217,2026-08-01,856
Ing.Juancho,ATS,Estándar,Eddy's,Avalanche Steel,4 000 km,4 041 km,129 km/h,Real,29 806 $,0 $,3,8115,2026-08-01,4041
DON ISMA,ATS,Estándar,18 Wheels,Peterbilt,4 000 km,5 000 km,130 km/h,Real,151 043 $,0 $,2,8777,2026-08-01,5000
ReyMisterio,ATS,Estándar,Bushnell Farms,Tidbit,2 921 km,2 075 km,130 km/h,Real,83 535 $,0 $,0,3019,2026-08-01,2075
Mr_Gerzon,ATS,Estándar,Rock Port,Sea Horizon,6 110 km,5 701 km,129 km/h,Real,157 218 $,0 $,0,9871,2026-08-01,5701
MALA INFLUENCIA,ATS,Estándar,Coastline Mining,Taylor Construction Group,5 652 km,6 647 km,130 km/h,Real,75 475 $,0 $,1,10718,2026-08-01,6647
Ayala.jav,ATS,Estándar,Creole Bay Port,Bitumen,2 916 km,2 945 km,130 km/h,Real,36 263 $,0 $,2,5483,2026-08-01,2945
Jose Naukin,ATS,Estándar,Flavorfair,Rail Export,1 304 km,1 389 km,127 km/h,Real,56 005 $,13 800 $,0,2505,2026-08-01,1389
Brayan Gamer,ATS,Estándar,Starbridge,Venture,2 434 km,2 463 km,127 km/h,Real,8 407 500 $,0 $,16,4100,2026-08-01,2463
andresnintendo,ATS,Estándar,SellGoods,Chemso Ltd.,146 km,147 km,98 km/h,Real,794 $,0 $,0,1647,2026-08-01,147
Guardian777,ATS,Estándar,Coastline Mining,Grand Pastures,2 356 km,2 483 km,129 km/h,Real,0 $,0 $,100,5527,2026-08-01,2483
MrSebas,ETS2,Estándar,EuroGoodies,RT Log,1 267 km,1 310 km,98 km/h,Real,45 233 €,0 €,5,3082,2026-08-01,1310
CRISTHIAN 926,ATS,Estándar,Rock Port,Deepgrove,4 310 km,4 974 km,129 km/h,Real,74 913 $,0 $,0,8348,2026-08-01,4974
CRISTHIAN 926,ATS,Estándar,Sea Horizon,Rock Port,4 000 km,5 000 km,129 km/h,Real,291 766 $,0 $,0,7974,2026-08-01,5000
JotaRomero1604,ATS,Estándar,Shop Town,Shop Town,991 km,1 108 km,130 km/h,Real,7 826 $,0 $,1,2203,2026-08-01,1108
Brayan Gamer,ATS,Estándar,Venture,Oakland Shippers,969 km,975 km,129 km/h,Real,35 649 $,0 $,0,1722,2026-08-01,975
MrSebas,ATS,Estándar,Lumen auto,Charged,3 km,3 km,94 km/h,Real,353 $,320 $,0,104,2026-08-01,3
Old_picotto,ATS,Wotr,Vortex,Steeler,3 520 km,4 104 km,113 km/h,Real,40 051 $,0 $,0,8459,2026-08-01,4104
Ayala.jav,ATS,Estándar,Bitumen,Central Civil Works,2 638 km,2 711 km,129 km/h,Real,46 286 $,0 $,0,4883,2026-08-01,2711
Ing.Juancho,ATS,Estándar,Avalanche Steel,Eddy's,4 424 km,3 346 km,128 km/h,Real,73 512 $,0 $,12,6358,2026-08-01,3346
JotaRomero1604,ATS,Estándar,Shop Town,MWM,1 022 km,1 213 km,132 km/h,Carrera,21 270 $,0 $,0,2523,2026-08-01,1213
MrSebas,ATS,Estándar,Enterpriser,Venture,400 km,400 km,128 km/h,Real,15 474 $,0 $,0,905,2026-08-01,400
andresnintendo,ATS,Estándar,terminales,terminales,193 km,241 km,98 km/h,Real,3 822 $,0 $,0,3111,2026-08-01,241
Ing.Juancho,ATS,Estándar,indupalma,zofiva,1 022 km,0 km,98 km/h,Real,15 273 $,0 $,6,3953,2026-08-01,0
CRISTHIAN 926,ATS,Estándar,Deepgrove,42 Print,2 077 km,2 076 km,129 km/h,Real,34 854 $,0 $,0,3583,2026-08-01,2076
LuisYanez9,ATS,Estándar,Shop Town,Coastline Mining,2 535 km,3 169 km,130 km/h,Real,79 681 $,0 $,4,7849,2026-08-01,3169
Yenny,ATS,Estándar,Bushnell Farms,Tidbit,2 024 km,2 530 km,149 km/h,Carrera,74 051 $,26 760 $,1,8346,2026-08-01,2530
MALA INFLUENCIA,ATS,Estándar,Taylor Construction Group,Sea Horizon,5 840 km,6 712 km,130 km/h,Real,32 548 $,0 $,0,10877,2026-08-01,6712
MrSebas,ATS,Estándar,Kenworth,Kenworth,3 017 km,3 019 km,128 km/h,Real,225 672 $,0 $,0,5097,2026-08-01,3019
CRISTHIAN 926,ATS,Estándar,42 Print,Aron,1 959 km,2 086 km,129 km/h,Real,32 907 $,0 $,0,3961,2026-08-01,2086
Ing.Juancho,ATS,Estándar,Syntetico,American Lines,2 768 km,2 780 km,128 km/h,Real,31 746 $,0 $,0,4656,2026-08-01,2780
Ing.Juancho,ATS,Estándar,American Lines,Fish Tail Food,253 km,266 km,128 km/h,Real,6 649 $,0 $,0,689,2026-08-01,266
ZayCruz,ATS,Estándar,Rail Export,18 Wheels,2 216 km,2 237 km,130 km/h,Real,9 271 $,0 $,22,4004,2026-08-01,2237
MrSebas,ATS,Estándar,Nielsen Roads,X-Tech Machinery,315 km,315 km,125 km/h,Real,23 385 $,0 $,0,800,2026-08-01,315
ZayCruz,ETS2,Estándar,NBFC,EuroGoodies,1 129 km,1 127 km,100 km/h,Real,8 034 €,0 €,3,2524,2026-08-01,1127
Ing.Juancho,ATS,Estándar,Fish Tail Food,Equos Power Transport,2 796 km,3 017 km,129 km/h,Real,238 313 $,0 $,0,4961,2026-08-01,3017
kingdilli,ETS2,Estándar,SellPlan,Trameri,414 km,517 km,99 km/h,Real,14 063 €,0 €,8,2534,2026-08-01,517
faver,ATS,Estándar,Taylor Construction Group,Gallon Oil,4 000 km,4 261 km,130 km/h,Real,35 498 $,0 $,12,7032,2026-08-01,4261
MALA INFLUENCIA,ATS,Estándar,Sea Horizon,Rock Port,4 980 km,5 980 km,130 km/h,Real,50 607 $,0 $,6,9824,2026-08-01,5980
kingdilli,ETS2,Estándar,БЛТ,Tree-ET,2 288 km,2 372 km,100 km/h,Real,100 047 €,0 €,0,6123,2026-08-01,2372
El puma (CT),ATS,Estándar,Rock Port,Sea Horizon,5 058 km,6 013 km,129 km/h,Real,70 319 $,0 $,13,9724,2026-08-01,6013
Jose Naukin,ATS,Estándar,Rail Export,Enterpriser,908 km,924 km,130 km/h,Real,41 165 $,5 360 $,2,1843,2026-08-01,924
Jose Naukin,ATS,Estándar,Enterpriser,Enterpriser,1 264 km,1 269 km,130 km/h,Real,54 560 $,6 320 $,1,2264,2026-08-02,1269
Mr_Gerzon,ATS,Estándar,Sea Horizon,Haddock Shipyard,4 981 km,5 981 km,129 km/h,Real,219 631 $,0 $,0,12606,2026-08-02,5981
Old_picotto,ATS,Wotr,Steeler,Waldens,2 076 km,2 106 km,112 km/h,Real,37 593 $,0 $,0,4620,2026-08-02,2106
JotaRomero1604,ATS,Estándar,NAMIQ,Coastline Mining,1 207 km,1 509 km,129 km/h,Real,44 762 $,0 $,1,3316,2026-08-02,1509
MALA INFLUENCIA,ATS,Estándar,Starbridge,Elimax,3 250 km,3 625 km,130 km/h,Real,136 670 $,0 $,0,6281,2026-08-02,3625
JotaRomero1604,ATS,Estándar,Coastline Mining,NAMIQ,636 km,769 km,129 km/h,Real,25 455 $,0 $,0,1613,2026-08-02,769
